map,BFS-G cost,BFS-G expanded,DFS-G cost,DFS-G expanded,UCS cost,UCS expanded,Greedy cost,Greedy expanded,WA* (0.5) cost,WA* (0.5) expanded,WA* (0.7) cost,WA* (0.7) expanded,WA* (0.9) cost,WA* (0.9) expanded
4x4,51.0,14.0,inf,5.0,51.0,11.0,51.0,11.0,51.0,15.0,51.0,15.0,51.0,15.0
8x8,164.0,55.0,inf,14.0,93.0,54.0,113.0,48.0,113.0,68.0,113.0,68.0,113.0,68.0
map12x12,109.0,141.0,inf,9.0,87.0,114.0,226.0,105.0,226.0,194.0,226.0,194.0,226.0,194.0
map15x15,121.0,223.0,inf,7.0,106.0,172.0,134.0,161.0,134.0,244.0,134.0,244.0,134.0,244.0
map20x20,256.0,390.0,inf,5.0,189.0,312.0,233.0,293.0,233.0,473.0,233.0,473.0,233.0,473.0
input_0,164.0,49.0,inf,11.0,113.0,49.0,113.0,40.0,113.0,65.0,113.0,65.0,113.0,65.0
input_1,108.0,59.0,inf,14.0,108.0,51.0,144.0,49.0,144.0,67.0,144.0,67.0,144.0,67.0
input_2,197.0,60.0,inf,12.0,123.0,52.0,123.0,50.0,123.0,69.0,123.0,69.0,123.0,69.0
input_3,195.0,60.0,inf,8.0,123.0,51.0,123.0,49.0,123.0,70.0,123.0,70.0,123.0,70.0
input_4,164.0,55.0,inf,14.0,93.0,53.0,113.0,48.0,113.0,66.0,113.0,66.0,113.0,66.0
input_5,204.0,60.0,inf,14.0,93.0,53.0,113.0,48.0,113.0,66.0,113.0,66.0,113.0,66.0
input_6,51.0,14.0,51.0,6.0,51.0,15.0,51.0,12.0,51.0,15.0,51.0,15.0,51.0,15.0
input_7,71.0,23.0,151.0,16.0,71.0,24.0,71.0,20.0,71.0,24.0,71.0,24.0,71.0,24.0
input_8,91.0,34.0,191.0,20.0,91.0,35.0,91.0,30.0,91.0,35.0,91.0,35.0,91.0,35.0
input_9,111.0,47.0,231.0,24.0,111.0,48.0,111.0,42.0,111.0,48.0,111.0,48.0,111.0,48.0
input_10,111.0,5.0,inf,2.0,111.0,6.0,111.0,3.0,111.0,13.0,111.0,13.0,111.0,13.0
input_11,131.0,12.0,51.0,6.0,51.0,11.0,51.0,7.0,51.0,15.0,51.0,15.0,51.0,15.0
input_12,101.0,2.0,inf,2.0,101.0,3.0,101.0,2.0,101.0,8.0,101.0,8.0,101.0,8.0
input_13,101.0,3.0,101.0,2.0,101.0,3.0,101.0,2.0,101.0,8.0,101.0,8.0,101.0,8.0
input_14,117.0,14.0,16.0,6.0,16.0,13.0,16.0,10.0,16.0,15.0,16.0,15.0,16.0,15.0
input_15,117.0,14.0,30.0,6.0,30.0,13.0,30.0,10.0,30.0,15.0,30.0,15.0,30.0,15.0
input_16,117.0,14.0,30.0,6.0,30.0,13.0,30.0,10.0,30.0,15.0,30.0,15.0,30.0,15.0
input_17,117.0,10.0,30.0,6.0,30.0,8.0,30.0,8.0,30.0,11.0,30.0,11.0,30.0,11.0
input_19,101.0,3.0,101.0,2.0,101.0,20.0,101.0,10.0,101.0,37.0,101.0,37.0,101.0,37.0
input_20,101.0,3.0,101.0,2.0,91.0,12.0,101.0,6.0,101.0,21.0,101.0,21.0,101.0,21.0
input_21,101.0,3.0,101.0,2.0,28.0,19.0,101.0,14.0,101.0,35.0,101.0,35.0,101.0,35.0
input_22,122.0,33.0,inf,3.0,49.0,24.0,56.0,19.0,56.0,36.0,56.0,36.0,56.0,36.0
input_23,28.0,31.0,inf,3.0,28.0,18.0,49.0,18.0,49.0,34.0,49.0,34.0,49.0,34.0
input_24,136.0,33.0,inf,5.0,28.0,19.0,136.0,19.0,136.0,39.0,136.0,39.0,136.0,39.0
input_25,101.0,3.0,101.0,2.0,101.0,15.0,101.0,13.0,101.0,29.0,101.0,29.0,101.0,29.0
